t_min,it_power_kw,T_air,T_rack_max,q_cooling_kw,cooling_elec_kw,total_facility_kw,pue
0.0,16.879171385160625,21.61875,22.36683892449397,32.0,8.0,24.879171385160625,1.4739569151500662
0.16666666666666666,17.373422933558352,21.381516321086785,22.57682710410357,28.94999999999999,7.237499999999997,24.61092293355835,1.4165845744778425
0.3333333333333333,15.481371096993499,21.229415955592597,22.617967653319425,27.05213056869428,6.76303264217357,22.24440373916707,1.4368497208549544
0.5,14.652370930769353,21.12143161954977,22.605892261646922,25.835327644740772,6.458831911185193,21.111202841954544,1.440804559323701
0.6666666666666666,16.658128670314728,21.03747508575247,22.629297504848516,24.971452956398167,6.242863239099542,22.90099190941427,1.374763778252266
0.8333333333333334,16.750081807602363,20.97453595680981,22.60326717192822,24.29980068601975,6.074950171504938,22.8250319791073,1.3626818209775966
1.0,16.07314279662564,20.924775285226282,22.54484880337484,23.796287654478476,5.949071913619619,22.022214710245258,1.3701249960193569
1.1666666666666667,15.717731907000005,20.8813443588392,22.5060456360227,23.398202281810256,5.849550570452564,21.56728247745257,1.372162510791231
1.3333333333333333,16.64111153544804,20.841343122870992,22.475999571690107,23.050754870713604,5.762688717678401,22.40380025312644,1.3462922957641992
1.5,16.818392386185003,20.806925879775562,22.452788465425225,22.730744982967934,5.6826862457419836,22.501078631926987,1.337885222038812
1.6666666666666667,17.134148247038514,20.77689933969195,22.424071180833593,22.4554070382045,5.613851759551125,22.74800000658964,1.3276411338696938
1.8333333333333333,17.489546382200132,20.75092287842825,22.43352147084587,22.21519471753561,5.5537986793839025,23.043345061584034,1.3175496126666981
2.0,17.00920144251895,20.728830935778483,22.35431419255702,22.007383027425988,5.501845756856497,22.511047199375447,1.3234629077355269
2.1666666666666665,15.96742197536306,20.707951321008093,22.323841646850546,21.83064748622786,5.457661871556965,21.425083846920025,1.3417998146462131
2.3333333333333335,15.7371407539918,20.685139075575783,22.29616366249031,21.66361056806474,5.415902642016185,21.153043396007988,1.34414781736272
2.5,15.841360561442206,20.661157050605496,22.21704833024863,21.481112604606267,5.370278151151567,21.211638712593775,1.3390035931776465
2.6666666666666665,17.137700608973816,20.6374418100083,22.231630626303133,21.289256404843968,5.322314101210992,22.460014710184808,1.3105617388615174
2.8333333333333335,15.575936885929917,20.618311208770074,22.185248528890728,21.09953448006641,5.2748836200166025,20.85082050594652,1.3386559446566273
3.0,16.226643340100857,20.597480114212676,22.20356003856892,20.946489670160588,5.236622417540147,21.463265757641004,1.3227175397760114
3.1666666666666665,16.7636231592559,20.578178047624053,22.152662616493267,20.779840913701406,5.1949602284253515,21.95858338768125,1.3098948347307005
3.3333333333333335,15.030498606560418,20.561774473141504,22.094280146657752,20.625424380992428,5.156356095248107,20.186854701808524,1.3430595504661098
3.5,16.249622835891266,20.542182122180527,22.07706671329913,20.494195785132035,5.123548946283009,21.373171782174275,1.315302637976704
3.6666666666666665,16.60940882105963,20.524975721565614,22.087291559974627,20.33745697744422,5.084364244361055,21.693773065420686,1.3061134986282243
3.8333333333333335,15.72871888295847,20.510552140513454,22.076433600365096,20.19980577252491,5.049951443131228,20.778670326089696,1.3210656558051066
4.0,14.379530782557632,20.495365656598725,21.98285472529552,20.08441712410763,5.021104281026908,19.400635063584538,1.3491841532908364
4.166666666666667,15.711004706046356,20.476124283493675,21.954501117574306,19.962925252789802,4.9907313131974504,20.701736019243807,1.3176583169933604
4.333333333333333,15.372997695495602,20.45912650376554,21.930902813414384,19.8089942679494,4.95224856698735,20.325246262482953,1.3221394203707189
4.5,14.601726805858274,20.44275271579173,21.899400489699122,19.673012030124312,4.918253007531078,19.51997981338935,1.3368268063718227
4.666666666666667,15.524660613457819,20.42482276640046,21.868583665983884,19.542021726333843,4.885505431583461,20.41016604504128,1.3146932195959489
4.833333333333333,17.125811898454714,20.409238819915934,21.87181998888434,19.398582131203682,4.8496455328009205,21.975457431255634,1.2831775545332547
5.0,15.539679838450901,20.400070804893787,21.872649304727165,19.273910559327476,4.818477639831869,20.35815747828277,1.3100757345018896
5.166666666666667,14.56406218101938,20.389874924447522,21.828468405954418,19.200566439150293,4.800141609787573,19.364203790806954,1.3295881018719735
5.333333333333333,14.406717547019177,20.376470228510872,21.788547179858607,19.118999395580175,4.779749848895044,19.18646739591422,1.3317723022815837
5.5,16.403980387566886,20.361192089760006,21.806240511053193,19.011761828086975,4.752940457021744,21.15692084458863,1.2897431199457026
5.666666666666667,15.851323718504949,20.35122076728944,21.82157497893647,18.889536718080052,4.722384179520013,20.573707898024963,1.297917338853352
5.833333333333333,15.856766452488717,20.34271767272906,21.80195371644,18.809766138315524,4.702441534578881,20.559207987067598,1.296557406497012
6.0,14.394788641911973,20.335233100349026,21.773778236661318,18.74174138183247,4.685435345458117,19.08022398737009,1.3254952512339062
6.166666666666667,15.208432702997182,20.32413166350325,21.768850148894543,18.681864802792205,4.670466200698051,19.878898903695234,1.3070971409024694
6.333333333333333,14.002466452884232,20.313769537157718,21.723376331552014,18.593053308025986,4.648263327006497,18.650729779890728,1.331960325893089
6.5,13.755106407394809,20.300472232476125,21.69902913967214,18.510156297261744,4.627539074315436,18.382645481710245,1.3364233570616109
6.666666666666667,14.856262481756707,20.28517883949782,21.679722150012616,18.403777859808997,4.600944464952249,19.457206946708958,1.3096973058063661
6.833333333333333,15.188904346617964,20.272459365959246,21.721620889002597,18.281430715982566,4.5703576789956415,19.759262025613605,1.3009010771743585
7.0,16.48024249810182,20.262433348646297,21.74417016332398,18.17967492767397,4.544918731918493,21.025161230020313,1.2757798456207166
7.166666666666667,15.674138360863772,20.257952523133614,21.73390374458955,18.09946678917038,4.524866697292595,20.199005058156366,1.2886836005346605
7.333333333333333,13.893135997191726,20.254179642573817,21.66935510451894,18.063620185068913,4.515905046267228,18.409041043458956,1.3250457670017803
7.5,14.57385933636657,20.245581424824707,21.617330161006482,18.033437140590536,4.508359285147634,19.082218621514205,1.3093456016758578
7.666666666666667,15.272610443513873,20.236612306486386,21.61099759747454,17.964651398597653,4.491162849649413,19.763773293163286,1.2940664836741622
7.833333333333333,13.49144688899743,20.229742565488653,21.5856631022929,17.892898451891085,4.473224612972771,17.9646715019702,1.3315600357601958
8.0,15.767070446481306,20.21887508262713,21.60756359578641,17.837940523909225,4.459485130977306,20.226555577458612,1.2828353653974138
8.166666666666666,14.07400945838214,20.212886440148424,21.588232010113074,17.75100066101703,4.437750165254258,18.511759623636397,1.3153152751798984
8.333333333333334,13.882214270356897,20.204642865306234,21.592232831933686,17.70309152118739,4.425772880296847,18.307987150653744,1.3188088581622985
8.5,14.391161144047295,20.194812143402185,21.53299086117977,17.63714292244987,4.409285730612467,18.800446874659762,1.3063884620898925
8.666666666666666,16.019714768106006,20.185879708471244,21.591296015178887,17.55849714721748,4.38962428680437,20.409339054910376,1.2740138854122276
8.833333333333334,14.712207406281562,20.18249898522648,21.580676303422518,17.487037667769954,4.3717594169424885,19.083966823224053,1.2971518342703565
9.0,15.26705494803709,20.178310447836342,21.654458390460846,17.459991881811845,4.364997970452961,19.632052918490054,1.2859096260090541
9.166666666666666,13.757610029510497,20.1754394816558,21.629417516372943,17.426483582690736,4.356620895672684,18.11423092518318,1.3166698929776026
9.333333333333334,15.236202966033396,20.168858728225633,21.581321065557272,17.403515853246404,4.350878963311601,19.587081929344997,1.28556189314432
9.5,13.060702350777404,20.164835078330555,21.49843142692527,17.350869825805063,4.337717456451266,17.39841980722867,1.3321197696686713
9.666666666666666,14.632594281737088,20.155817572775806,21.48459583761955,17.318680626644436,4.329670156661109,18.962264438398197,1.295892175597663
9.833333333333334,11.666404201195084,20.1490006688996,21.437316522157413,17.24654058220645,4.311635145551612,15.978039346746696,1.3695770411512003
10.0,14.9548356687732,20.134712570503332,21.443968525928906,17.192005351196798,4.2980013377991995,19.2528370065724,1.2873987673949332
10.166666666666666,16.049693472018706,20.12652429161452,21.490879216284117,17.077700564026657,4.269425141006664,20.31911861302537,1.2660128773456047
10.333333333333334,13.81418374441901,20.12509237679306,21.454534407136126,17.012194332916152,4.253048583229038,18.06723232764805,1.3078754895632028
10.5,15.057938645689532,20.12069397174633,21.472233830355833,17.000739014344475,4.250184753586119,19.30812339927565,1.2822554171319307
10.666666666666666,14.711349230248665,20.118501897407928,21.5190758900721,16.965551773970645,4.241387943492661,18.952737173741326,1.288307202630453
10.833333333333334,13.249646367690886,20.116524599422153,21.471512592832223,16.94801517926342,4.237003794815855,17.48665016250674,1.3197824060533225
11.0,14.233972260213577,20.110361626530015,21.43953125652454,16.932196795377223,4.233049198844306,18.467021459057882,1.2973905752701522
11.166666666666666,14.839554720560887,20.105017260351826,21.45398480043029,16.882893012240118,4.220723253060029,19.060277973620916,1.2844238477864853
11.333333333333334,12.94261734635564,20.102048883639622,21.427684343635505,16.840138082814605,4.210034520703651,17.15265186705929,1.325284632005991
11.5,13.930472830150636,20.094791909965195,21.454469560413887,16.816391069116975,4.204097767279244,18.134570597429878,1.301791462396024
11.666666666666666,13.861908622079401,20.08833528244633,21.407484486113454,16.758335279721564,4.189583819930391,18.051492442009792,1.3022371546481828
11.833333333333334,12.145012578271535,20.08226569609059,21.353779730526526,16.70668225957064,4.17667056489266,16.321683143164194,1.3439000608665552
12.0,13.068852978683267,20.07144451663619,21.32438370957201,16.658125568724728,4.164531392181182,17.23338437086445,1.318660818893134
12.166666666666666,14.444726495793399,20.061070437849036,21.343828245017193,16.57155613308953,4.1428890332723824,18.58761552906578,1.2868097941819026
12.333333333333334,13.850166376917487,20.055287588669845,21.34048464227658,16.48856350279229,4.122140875698072,17.972307252615558,1.297623924761509
12.5,13.440150082529533,20.050358655215827,21.34717093674473,16.44230070935876,4.11057517733969,17.550725259869225,1.3058429520577237
